"Id","Name","Country","Discipline","Event"
1,ABDELMAGID Wael,Egypt,Football,
1,ABE Junya,Japan,Volleyball,
1,ABE Katsuhiko,Japan,Basketball,
1,ADAMA Cherif,C�te d'Ivoire,Football,
1,AGEBA Yuya,Japan,Volleyball,
1,AIKMAN Siegfried Gottlieb,Japan,Hockey,Men
1,AL SAADI Kais,Germany,Hockey,Men
1,ALAMEDA Lonni,Canada,Baseball/Softball,Softball
1,ALEKNO Vladimir,Islamic Republic of Iran,Volleyball,Men
1,ALEKSEEV Alexey,ROC,Handball,Women
1,ALLER CARBALLO Manuel Angel,Spain,Basketball,
1,ALSHEHRI Saad,Saudi Arabia,Football,Men
1,ALY Kamal,Egypt,Football,
1,AMAYA GAITAN Fabian,Puerto Rico,Basketball,
1,AMO AGUADO Pablo,Spain,Football,
1,ANDONOVSKI Vlatko,United States of America,Football,Women
1,ANNAN Alyson,Netherlands,Hockey,Women
1,ARNAU CREUS Xavier,Japan,Hockey,Women
1,ARNOLD Graham,Australia,Football,Men
1,AXNER Tomas,Sweden,Handball,Women
1,BABER Gareth Colin,Fiji,Rugby Sevens,Men
1,BACIU Horatiu,Romania,Football,
1,BANBULA Wojciech,Poland,Volleyball,
1,BAO Zhuang,People's Republic of China,Volleyball,
1,BARYLA Pawel,ROC,Volleyball,
1,BASILIO Mel,Canada,Baseball/Softball,Softball
1,BASSO Paola,Great Britain,Artistic Swimming,Duet
1,BATCH Colin,Australia,Hockey,Men
1,BATISTA Fernando,Argentina,Football,Men
1,BATISTA SANTIAGO Gerardo,Puerto Rico,Basketball,Women
1,BENCIC Filip,Serbia,Basketball,
1,BERG Laura,United States of America,Baseball/Softball,Softball
1,BERGE Christian,Norway,Handball,Men
1,BILLAVA SURESH Ankitha,India,Hockey,Women
1,BIRO Attila,Hungary,Water Polo,Women
1,BLECHER SIDOROVA Svetlana,Israel,Artistic Swimming,Duet
1,BLENGINI Gianlorenzo,Italy,Volleyball,Men
1,BOLTON Alice,Nigeria,Basketball,
1,BREIVIK Marit,Norway,Handball,
1,BRODERICK William,Brazil,Rugby Sevens,Women
1,BRONDELLO Sandy,Australia,Basketball,Women
1,BROWN Chris,United States of America,Rugby Sevens,Women
1,BROWN Michael,Nigeria,Basketball,Men
1,BRUN Aristide,Austria,Artistic Swimming,
1,BUNTING Allan,New Zealand,Rugby Sevens,Women
1,BURLANDO Giovanna,Italy,Artistic Swimming,
1,BUSATO Sergio,ROC,Volleyball,Women
1,BUSENKELL Axel,Germany,Football,
1,BYRNE Mick,Canada,Rugby Sevens,Women
1,CADENAS MONTANES Manuel,Argentina,Handball,Men
1,CALDAS Max,Netherlands,Hockey,Men
1,CAMPAGNA Alessandro,Italy,Water Polo,Men
1,CARO Carlos,Mexico,Baseball/Softball,Softball
1,CASAREZ Mary Lucy,Japan,Baseball/Softball,Softball
1,CASTRO Alex,Chile,Football,
1,CHAMBERS Cheryl,Australia,Basketball,
1,CHEPAK Anastasiya,Egypt,Artistic Swimming,Duet
1,CHEPAK Anastasiya,Egypt,Artistic Swimming,Team
1,CHERNETSKA Natalia,Greece,Artistic Swimming,Duet
1,CHERNETSKA Natalia,Greece,Artistic Swimming,Team
1,CHIARI Simona,San Marino,Artistic Swimming,
1,CHOI Il Eon,Republic of Korea,Baseball/Softball,Baseball
1,CHUN Jooweon,Republic of Korea,Basketball,Women
1,CLARK STEPHEN Gregg,India,Hockey,Men
1,COLLET Vincent,France,Basketball,Men
1,COMMENS Adam,Belgium,Hockey,
1,COURTEIX David,France,Rugby Sevens,Women
1,CRESPI JAUME Margalida,Colombia,Artistic Swimming,
1,CRUZ Filipe,Angola,Handball,Women
1,DAL ZOTTO Renan,Brazil,Volleyball,Men
1,DANCER Sean,Ireland,Hockey,Women
1,DANCHENKO Tatiana,ROC,Artistic Swimming,Duet
1,DAVY Jeremy,Australia,Hockey,Women
1,DAZA Fabian,Chile,Football,
1,de la FUENTE CASTILLO Luis,Spain,Football,Men
1,de MOURA Luizomar,Kenya,Volleyball,Women
1,de OLIVEIRA Marcus Ricardo,Brazil,Handball,Men
1,de VOS Robbert-Jan,Netherlands,Hockey,
1,DELANEY Mike,New Zealand,Hockey,
1,DEMCHENKO Zhanna,Kazakhstan,Artistic Swimming,Duet
1,DIAZ FERNANDEZ Jenaro Manuel,Spain,Basketball,
1,DIAZ HENRIQUEZ Nestor,Dominican Republic,Basketball,
1,DIDENKO Natalia,Spain,Artistic Swimming,
1,DOBSON Howard,United States of America,Baseball/Softball,Softball
1,DORE Karine,Canada,Artistic Swimming,
1,DROBNJAK Dragisa,Slovenia,Basketball,
1,DUENAS de GALARZA Jorge,Brazil,Handball,Women
1,DURO Fernando,Venezuela,Basketball,
1,DYKSTRA Trisha,Australia,Basketball,
1,ECHEZURIA Manuel,Venezuela,Basketball,
1,EDDY Anthony,Ireland,Rugby Sevens,Men
1,EITOKU Atsushi,Japan,Artistic Swimming,
1,ELAFANDI Nour,Egypt,Artistic Swimming,Duet
1,ELAFANDI Nour,Egypt,Artistic Swimming,Team
1,ELEK Gabor,Hungary,Handball,Women
1,ENGELLAND Chip,United States of America,Basketball,
1,ENQUIST Susan,United States of America,Volleyball,
1,ERIKSEN Ken,United States of America,Baseball/Softball,Softball
1,EWING Gareth,South Africa,Hockey,Men
1,FABRE Julie,France,Artistic Swimming,Duet
1,FAHMY LATIF Yasmine,Egypt,Artistic Swimming,
1,FALERO Miguel,Honduras,Football,Men
1,FARINELLI Roberta,Italy,Artistic Swimming,Duet
1,FARINELLI Roberta,Italy,Artistic Swimming,Team
1,FATOVIC Elvis,Australia,Water Polo,Men
1,FAVAREL Pablo,Venezuela,Basketball,
1,FEDIUSHYNA Tetiana,Ukraine,Artistic Swimming,
1,FERRARO Hernan,Argentina,Volleyball,Women
1,FISH Nathan,Israel,Baseball/Softball,Baseball
1,FLOWERS Tairia,United States of America,Baseball/Softball,Softball
1,FOIREST Laurent,France,Basketball,
1,FORREST Scott,Great Britain,Rugby Sevens,Women
1,FRIDAY Mike,United States of America,Rugby Sevens,Men
1,FUENTES Andrea,United States of America,Artistic Swimming,Duet
1,FUERBRINGER Matthew,United States of America,Volleyball,
1,FUJIKI Mayuko,Spain,Artistic Swimming,Duet
1,FUJIKI Mayuko,Spain,Artistic Swimming,Team
1,FULI Saiasi,Fiji,Rugby Sevens,Women
1,GADEMAN Pasha,Canada,Hockey,Men
1,GAIDUKOV Aleksandr,ROC,Water Polo,Women
1,GARCIA HERRERA Manuel,Dominican Republic,Baseball/Softball,Baseball
1,GARCIA Nestor,Dominican Republic,Basketball,
1,GARCIA PIZARRO Paula,Colombia,Artistic Swimming,Duet
1,GARNIER Valerie,France,Basketball,Women
1,GERHARDSSON Peter,Sweden,Football,Women
1,GIACOBBE Antonio,Tunisia,Volleyball,Men
1,GIALLOMBARDO Patrizia,Italy,Artistic Swimming,Duet
1,GIALLOMBARDO Patrizia,Italy,Artistic Swimming,Team
1,GILLE Guillaume,France,Handball,Men
1,GINZBURG Ronen,Czech Republic,Basketball,Men
1,GISLASON Alfred,Germany,Handball,Men
1,GOJKOVIC Vladimir,Montenegro,Water Polo,Men
1,GOMEZ CORA Santiago,Argentina,Rugby Sevens,Men
1,GONZALEZ Anibal,Mexico,Football,
1,GONZALEZ JARENO Angel,Spain,Basketball,
1,GOORJIAN Brian,Australia,Basketball,Men
1,GORDO MANSILLA Juan David,Spain,Football,
1,GRAINGER Adam,Ireland,Hockey,
1,GRAUPERA Cristina,Greece,Artistic Swimming,
1,GRAZIOSI Gianluca,Italy,Volleyball,
1,GRESKOWIAK Arne,Germany,Basketball,
1,GRYZUNOVA Elena,ROC,Artistic Swimming,Team
1,GUERRERO LOPEZ Julen,Spain,Football,
1,GUERRERO Rolando,Mexico,Baseball/Softball,Softball
1,GUERRERO Rolando,Mexico,Baseball/Softball,Softball
1,GUIDETTI Giovanni,Turkey,Volleyball,Women
1,GUILLEN Ronald,Venezuela,Basketball,
1,GUIMARAES Jose Roberto,Brazil,Volleyball,Women
1,GUSTAVSSON Tony,Australia,Football,Women
1,HAGER Mark,Great Britain,Hockey,Women
1,HAIDARA Soualiho,C�te d'Ivoire,Football,Men
1,HALD Simon,Denmark,Handball,
1,HALKETT Rhett,Netherlands,Hockey,
1,HAM Darvin de,Nigeria,Basketball,
1,HARDY William,United States of America,Basketball,
1,HARROW Laing,Australia,Baseball/Softball,Softball
1,HARVEY Laura,United States of America,Football,
1,HAVENGA Arno,Netherlands,Water Polo,Women
1,HAY Danny,New Zealand,Football,Men
1,HEM Thon Ponloeu,Cambodia,Artistic Swimming,
1,HENKEL Claas,Germany,Hockey,Men
1,HENNING Andre,Canada,Hockey,Men
1,HERGEIRSSON Thorir,Norway,Handball,Women
1,HERNANDEZ FRAILE Jose Ignacio,Spain,Basketball,
1,HERNANDEZ Sergio,Argentina,Basketball,Men
1,HEYNEN Vital,Poland,Volleyball,Men
1,HIROSE Norikazu,Japan,Football,
1,HOAG Glenn,Canada,Volleyball,Men
1,HOLANEK Zoltan,Hungary,Handball,
1,HOVASSE Thomas Wayne,Japan,Basketball,Women
1,HUGHES Daniel,United States of America,Basketball,
1,HUGHLEY JR Otis,Nigeria,Basketball,Women
1,IMURA Masayo,Japan,Artistic Swimming,
1,IWABUCHI Kensuke,Japan,Rugby Sevens,Men
1,JACOBSEN Nikolaj,Denmark,Handball,Men
1,JARDINE Andre,Brazil,Football,Men
1,JAUMA CAYUELA Esther,Netherlands,Artistic Swimming,Duet
1,JENNINGS Dee,Australia,Hockey,
1,JEROME Essapa,C�te d'Ivoire,Football,
1,JIA Xiuquan,People's Republic of China,Football,Women
1,JIMENEZ NIETO Cecilia,Spain,Artistic Swimming,
1,JOHNSON Vickie,United States of America,Basketball,
1,JONES Chris,Canada,Baseball/Softball,Softball
1,JONES Nathan,Australia,Baseball/Softball,Softball
1,KAISER Pierre,Belgium,Basketball,
1,KANEKO Makoto,Japan,Baseball/Softball,Baseball
1,KANG Jae Won,Republic of Korea,Handball,Women
1,KANUNGO Bergin,Zambia,Football,
1,KAWASE Asaki,Japan,Football,
1,KAZAMA Takafumi,Japan,Football,
1,KELLER Florian,Germany,Hockey,Women
1,KERRY Danny,Great Britain,Hockey,Men
1,KIM Chanbin,Republic of Korea,Football,
1,KIM Hagbum,Republic of Korea,Football,Men
1,KIRALY Karch,United States of America,Volleyball,Women
1,KIRKELY Ulrik,Japan,Handball,Women
1,KIRKPATRICK Andrew,Australia,Baseball/Softball,Softball
1,KITABAYASHI Kenji,Japan,Handball,
1,KLARENBEEK Auke,Netherlands,Handball,
1,KNEZEVIC Nemanja,Kazakhstan,Water Polo,Men
1,KOFFI Anthony,C�te d'Ivoire,Football,
1,KONSTANTINOV Aleksei,ROC,Volleyball,
1,KONTIC Svetlana,Serbia,Artistic Swimming,
1,KRIKORIAN Adam,United States of America,Water Polo,Women
1,KRIST JANSSON Aron,Bahrain,Handball,Men
1,KRUMBHOLZ Olivier,France,Handball,Women
1,KULESZA Katarzyna,Canada,Artistic Swimming,Team
1,KUNTZ Stefan,Germany,Football,Men
1,KUZIN Andrey,ROC,Rugby Sevens,Women
1,KWIEK Marcos,Dominican Republic,Volleyball,Women
1,LAIDLAW Clark,New Zealand,Rugby Sevens,Men
1,LAMAS Julio,Japan,Basketball,Men
1,LANG Ping,People's Republic of China,Volleyball,Women
1,LAVARINI Stefano,Republic of Korea,Volleyball,Women
1,LAZARO CORRAL Jesus,Spain,Basketball,
1,LETELIER Jose,Chile,Football,Women
1,LOCK Adrian Mayner,Spain,Hockey,Women
1,LOFTUS Adriana,Mexico,Artistic Swimming,Duet
1,LOPES BARBOSA Leonard,Kenya,Volleyball,
1,LOPEZ GUILLEN Melvyn,Dominican Republic,Basketball,
1,LOPEZ Monica Susana,Argentina,Artistic Swimming,
1,LOUCKS Luke,Nigeria,Basketball,
1,LOZANO Jaime,Mexico,Football,Men
1,MACEK Anze,Slovenia,Basketball,
1,MACKINTOSH Euan Michael Gordon,People's Republic of China,Rugby Sevens,Women
1,MAEDA Kenzo,Japan,Basketball,
1,MAHLANGU Sibusiso,South Africa,Football,
1,MAKIRI Hare,Japan,Rugby Sevens,Women
1,MALJKOVIC Marina,Serbia,Basketball,Women
1,MANENTI John,Australia,Rugby Sevens,Women
1,MANZANILLO Andres,Venezuela,Volleyball,
1,MARCZ Tamas,Hungary,Water Polo,Men
1,MARIJNE Sjoerd,India,Hockey,Women
1,MARINELLI Fernando,Chile,Football,
1,MARTIN LOZANO David,Spain,Water Polo,Men
1,MARTIN Paul,South Africa,Water Polo,Men
1,MASHA Mario,South Africa,Football,
1,MATSUNO Yoshiyuki,Japan,Basketball,
1,MATSUODANI Yasushi,Japan,Football,
1,MAYBURY Elena,United States of America,Football,
1,MAYONNADE Emmanuel,Netherlands,Handball,Women
1,MAZZANTI Davide,Italy,Volleyball,Women
1,McCRORIE Christy,South Africa,Hockey,
1,McLEOD Shane,Belgium,Hockey,Men
1,MEDINA Bobby,Nigeria,Basketball,
1,MENDEZ Marcelo Rodolfo,Argentina,Volleyball,Men
1,MENGUAL CIVIL Gemma,Spain,Artistic Swimming,
1,MENTOOR Delaine,South Africa,Water Polo,Women
1,MERCEDES del ROSARIO Jose,Dominican Republic,Basketball,
1,MESTDAGH Philip,Belgium,Basketball,Women
1,MEZHENINA Valeriia,Ukraine,Artistic Swimming,Team
1,MEZIANE Rachid,France,Basketball,
1,MIHAILOVIC Predrag,Australia,Water Polo,Women
1,MIREJOVSKY Michal,Czech Republic,Basketball,
1,MIRET GARCIA Daniel,Spain,Basketball,
1,MIURA Keiko,Japan,Hockey,Women
1,MIYAKAWA Miya,Japan,Artistic Swimming,
1,MLADENOVA Albena,Austria,Artistic Swimming,Duet
1,MOHAMED Mai,Egypt,Artistic Swimming,
1,MOHAMED Sayeda,Saudi Arabia,Football,
1,MOHAMMED Silifat,Nigeria,Basketball,
1,MONDELO GARCIA Lucas,Spain,Basketball,Women
1,MONTICO Loredana,Australia,Artistic Swimming,Duet
1,MONTICO Loredana,Australia,Artistic Swimming,Team
1,MORIYASU Hajime,Japan,Football,Men
1,MOTOMIYA Makihiro,Japan,Water Polo,Women
1,MULATI Adilijiang,People's Republic of China,Basketball,
1,MUNOZ Noe de Jesus,Mexico,Baseball/Softball,Baseball
1,MWAPE Bruce,Zambia,Football,Women
1,NAGAE Shoji,Japan,Volleyball,
1,NAIDOO Taren,South Africa,Hockey,Women
1,NAKADA Kumi,Japan,Volleyball,Women
1,NAKAGAICHI Yuichi,Japan,Volleyball,Men
1,NCUBE Mthandazo,South Africa,Football,
1,NEVES Christophe,C�te d'Ivoire,Football,
1,NISHIDA Takumi,Japan,Rugby Sevens,
1,NOTOANE David,South Africa,Football,Men
1,OCA GAIA Miguel Angel,Spain,Water Polo,Women
1,ODAUDU Ogoh,Nigeria,Basketball,
1,OLOO Felix,Kenya,Rugby Sevens,Women
1,OMOTO Yoji,Japan,Water Polo,Men
1,PAGAN CRISTOBAL Angel,Puerto Rico,Basketball,
1,PALERMI Giovanna,Italy,Baseball/Softball,Softball
1,PANTOJA Hernan,Venezuela,Volleyball,
1,PARADELO David,Canada,Water Polo,Women
1,PARRONDO Roberto,Egypt,Handball,Men
1,PAUL Henry,Canada,Rugby Sevens,Men
1,PECCI Isabella,San Marino,Artistic Swimming,
1,PEDRERO Ofelia,Mexico,Artistic Swimming,Duet
1,PEREIRA Paulo Jorge,Portugal,Handball,Men
1,PEREZ Jose,Venezuela,Basketball,
1,PIBIRI Rossella,Italy,Artistic Swimming,
1,PISKAREVA Ekaterina,ROC,Artistic Swimming,
1,PIZZOLINI Federico,Italy,Baseball/Softball,Softball
1,POPOVICH Gregg,United States of America,Basketball,Men
1,POROBIC Petar,People's Republic of China,Water Polo,Women
1,POTTER Anthony,Australia,Hockey,Men
1,POWELL Katrina,Australia,Hockey,Women
1,POWELL Neil,South Africa,Rugby Sevens,Men
1,PRADO BRANAS Joaquin,Spain,Basketball,
1,PRIESTMAN Bev,Canada,Football,Women
1,RADOI Mirel,Romania,Football,Men
1,RECKINGER Xavier,Germany,Hockey,Women
1,REID Graham John,India,Hockey,Men
1,REQUENA PERICAS Judit,Spain,Artistic Swimming,Duet
1,REQUENA PERICAS Judit,Spain,Artistic Swimming,Team
1,RETEGUI Carlos Jose,Argentina,Hockey,Men
1,RETEGUI Carlos Jose,Argentina,Hockey,Women
1,RIBERA ROMANS Jordi,Spain,Handball,Men
1,RIISE Hege,Great Britain,Football,Women
1,RILLIE John,Australia,Basketball,
1,RIPOLL Sylvain,France,Football,Men
1,RODRIGUEZ Eduardo Rafael,Argentina,Volleyball,
1,ROEDL Henrik,Germany,Basketball,Men
1,ROQUES Anthony,Great Britain,Rugby Sevens,Men
1,SACCHETTI Romeo,Italy,Basketball,Men
1,SALAM Mohamed,Egypt,Football,
1,SAMMELVUO Tuomas,ROC,Volleyball,Men
1,SARTI Ronald,Venezuela,Volleyball,Men
1,SAVIC Dejan,Serbia,Water Polo,Men
1,SAVIC Maja,Montenegro,Handball,Women
1,SCARIOLO Sergio,Spain,Basketball,Men
1,SCHILLING April,Nigeria,Basketball,
1,SEKULIC Aleksander,Slovenia,Basketball,Men
1,SEO Chun Oh,Republic of Korea,Rugby Sevens,Men
1,SERMANNI Tom,New Zealand,Football,Women
1,SHAHINTAB Mehran,Islamic Republic of Iran,Basketball,Men
1,SHAHNAZI Shahbaz,Austria,Artistic Swimming,
1,SHAW Graham,New Zealand,Hockey,Women
1,SHAWKY Gharib,Egypt,Football,Men
1,SIAM Zaghloul,Egypt,Football,
1,SIGURDSSON Dagur,Japan,Handball,Men
1,SIMIYU Innocent,Kenya,Rugby Sevens,Men
1,SINGH Shivendra,India,Hockey,Men
1,SMITH Darren,New Zealand,Hockey,Men
1,SMITH Mark,Canada,Baseball/Softball,Softball
1,SOLBERG Glenn,Sweden,Handball,Men
1,SOYEZ Frederic,Spain,Hockey,Men
1,SPERAW John,United States of America,Volleyball,Men
1,SPERONI Stefania,Great Britain,Artistic Swimming,Duet
1,STALEY Dawn,United States of America,Basketball,Women
1,STANIFORTH Dave,Australia,Hockey,
1,STAS Jacques,Belgium,Basketball,
1,SUNDHAGE Pia Mariane,Brazil,Football,Women
1,SVETLICHNAYA Aliona,Belarus,Artistic Swimming,Duet
1,SZAUDER Gabor,Canada,Artistic Swimming,Duet
1,SZAUDER Gabor,Canada,Artistic Swimming,Team
1,SZAUDER Nora,Slovakia,Artistic Swimming,
1,TAGLE German,Chile,Football,
1,TAKAKURA Asako,Japan,Football,Women
1,TAKITA Risako,Japan,Artistic Swimming,
1,TARR Heather,United States of America,Baseball/Softball,Softball
1,TARRES CAMPA Ana,Greece,Artistic Swimming,Duet
1,TARRES CAMPA Ana,Greece,Artistic Swimming,Team
1,TERZIC Zoran,Serbia,Volleyball,Women
1,THOMAIDIS Lisa,Canada,Basketball,Women
1,TILLIE Laurent,France,Volleyball,Men
1,TOMOMATSU Yumiko,Italy,Artistic Swimming,
1,TUCAK Ivica,Croatia,Water Polo,Men
1,TURNER Glenn,New Zealand,Hockey,Men
1,UDOKA Ime,United States of America,Basketball,
1,UDOVICIC Dejan,United States of America,Water Polo,Men
1,UTKIN Volodymyr,Ukraine,Artistic Swimming,
1,UTSUGI Reika,Japan,Baseball/Softball,Softball
1,van GINKEL Robin,South Africa,Hockey,Women
1,van GUNDY Jeff,United States of America,Basketball,
1,VASQUEZ Diego,Venezuela,Basketball,
1,VEGA HERRERO Anna,Spain,Artistic Swimming,
1,VILLEGAS Orlando,Venezuela,Volleyball,
1,VITORINO de SOUZA Marcelo,Kenya,Volleyball,
1,VIVER ARZA Carlos Enrique,Spain,Handball,Women
1,VLACHOS Theodoros,Greece,Water Polo,Men
1,VORONOVA Elena,ROC,Artistic Swimming,Duet
1,WALL Michael,United States of America,Volleyball,
1,WALSH Tim,Australia,Rugby Sevens,Men
1,WANG Jie,People's Republic of China,Artistic Swimming,Duet
1,WANG Jie,People's Republic of China,Artistic Swimming,Team
1,WANG Yang,People's Republic of China,Hockey,Women
1,WEINSTEIN Jerry,United States of America,Baseball/Softball,Baseball
1,WIEGMAN Sarina,Netherlands,Football,Women
1,WIRTH Oscar,Chile,Football,
1,WOELFLIN Roberto Osvaldo,Argentina,Volleyball,
1,WOICKI Pawel,Poland,Volleyball,
1,WRIGHT Jerold,United States of America,Basketball,
1,XU Limin,People's Republic of China,Basketball,Women
1,YAMAJI Noriko,Japan,Baseball/Softball,Softball
1,YUAN Lingxi,People's Republic of China,Volleyball,
1,YURKIN Sergey,ROC,Volleyball,
1,ZAITSEVA Olesia,Ukraine,Artistic Swimming,Duet
1,ZAMORA PEDREIRA Javier,Spain,Basketball,
1,ZAMPIERI Francesca,Liechtenstein,Artistic Swimming,Duet
1,ZHANG Xiaohuan,People's Republic of China,Artistic Swimming,
1,ZIJP Simon,Netherlands,Hockey,
1,ZONDI Nkuliso,South Africa,Hockey,Women
